Wrong,Type,Right,List
a,~~,a,"['of', 'and', 'to', 'he', 'or', 'was', 'had', 'she', 'a', 's']"
a,~~,a,"['to', 'so', 'as', 'a', 'we', 'and', 's', 'is', 'e', 'o']"
a,~~,a,"['s', 'and', 'of', 'was', 'is', 'a', 'to', 'at', 'had', 'as']"
a,~~,a,"['far', 'is', 'and', 'to', 'was', 'a', 'as', 'of', 'on', 'he']"
a,~~,a,"['is', 'was', 'and', 'to', 'a', 's', 'has', 'at', 'as', 'he']"
a,~~,a,"['to', 'and', 'or', 'of', 'a', 's', 'e', 'o', 'u', 'ad']"
a,~~,a,"['as', 'lo', 'be', 'is', 'had', 'on', 'a', 'of', 'mar', 'he']"
a,~~,a,"['and', 'all', 'as', 'a', 'is', 'he', 'so', 's', 'e', 'o']"
a,~~,a,"['as', 'of', 'to', 'so', 'a', 's', 'e', 'o', 'u', 'ad']"
a,~~,a,"['his', 's', 'on', 'a', 'e', 'o', 'u', 'ad', 'ai', 'ah']"
a,~~,a,"['to', 'and', 'at', 'me', 'any', 'his', 'a', 's', 'e', 'o']"
a,~~,a,"['as', 'on', 'of', 'at', 'to', 'a', 'up', 'and', 'all', 'an']"
a,~~,a,"['is', 'see', 'was', 'he', 's', 'a', 'are', 'we', 'had', 'do']"
a,~~,a,"['he', 'can', 'is', 'was', 'may', 'a', 'she', 'we', 's', 'am']"
a,~~,a,"['all', 'say', 'he', 'be', 'so', 'a', 'on', 'of', 'as', 'is']"
a,~~,a,"['is', 'was', 'are', 's', 'may', 'a', 'e', 'o', 'u', 'ad']"
a,~~,a,"['at', 'on', 'to', 'and', 'a', 's', 'e', 'o', 'u', 'ad']"
a,~~,a,"['of', 'at', 'to', 'as', 'is', 'she', 'he', 'so', 'ran', 'a']"
a,~~,a,"['to', 'on', 'and', 'a', 's', 'all', 'e', 'o', 'u', 'ad']"
a,~~,a,"['to', 'and', 'at', 'or', 'a', 's', 'e', 'o', 'u', 'ad']"
a,~~,a,"['his', 'and', 'all', 'a', 'so', 's', 'was', 'e', 'o', 'u']"
a,~~,a,"['so', 'as', 's', 'and', 'a', 'to', 'is', 'all', 'at', 'any']"
a,~~,a,"['of', 'she', 'go', 'a', 's', 'e', 'o', 'u', 'ad', 'ai']"
a,~~,a,"['to', 'and', 'as', 'on', 'of', 'a', 's', 'e', 'o', 'u']"
a,~~,a,"['he', 'as', 's', 'a', 'e', 'o', 'u', 'ad', 'ai', 'ah']"
a,~~,a,"['to', 'so', 'as', 'a', 'we', 'and', 's', 'is', 'e', 'o']"
able,~~,able,"['be', 'have', 'take', 'able', 'ably', 'abler', 'ale', 'amble', 'sable', 'ankle']"
after,~~,after,"['harder', 'over', 'afore', 'stir', 'after', 'alter', 'batter', 'ate', 'are', 'enter']"
ago,~~,ago,"['to', 'of', 'ago', 'ego', 'at', 'agro', 'sago', 'aha', 'oho', 'no']"
ah,~~,ah,"['and', 'of', 'or', 'a', 'he', 'ah', 'sh', 'eh', 'oh', 'uh']"
alan,~~,alan,"['as', 'alan', 'elan', 'alang', 'alane', 'slam', 'slab', 'alum', 'alb', 'als']"
am,~~,am,"['a', 'and', 'any', 'an', 'am', 'em', 'um', 'on', 's', 'amd']"
am,~~,am,"['a', 'on', 'am', 'me', 's', 'an', 'em', 'um', 'my', 'at']"
am,~~,am,"['a', 'on', 'am', 'me', 's', 'an', 'em', 'um', 'my', 'at']"
am,~~,am,"['no', 'a', 'some', 'many', 'and', 'am', 'in', 'an', 'on', 'any']"
am,~~,am,"['as', 'a', 'and', 'am', 'an', 'em', 'um', 'amd', 'amp', 'aim']"
an,~~,an,"['a', 'up', 'on', 'in', 'an', 'no', 'as', 'am', 'ab', 'en']"
an,~~,an,"['a', 'and', 'in', 'one', 'by', 'an', 'as', 'my', 'am', 'ab']"
an,~~,an,"['a', 's', 'and', 'an', 'am', 'ab', 'any', 'en', 'on', 'un']"
an,~~,an,"['and', 'she', 'a', 'an', 'am', 'ab', 'en', 'on', 'un', 'ah']"
an,~~,an,"['a', 'and', 'my', 'an', 'on', 'any', 'am', 'ab', 'one', 'en']"
an,~~,an,"['a', 'and', 'any', 'in', 'an', 'one', 'am', 'ab', 'en', 'on']"
an,~~,an,"['sung', 'a', 'on', 'no', 'seen', 'in', 'at', 'an', 'and', 'am']"
and,~~,and,"['a', 'be', 'at', 'as', 'and', 'one', 'an', 'of', 'amd', 'on']"
and,~~,and,"['an', 'she', 'gone', 'and', 'amd', 'ant', 'end', 'und', 'andf', 'ad']"
and,~~,and,"['an', 'she', 'gone', 'and', 'amd', 'ant', 'end', 'und', 'andf', 'ad']"
and,~~,and,"['an', 'she', 'gone', 'and', 'amd', 'ant', 'end', 'und', 'andf', 'ad']"
and,~~,and,"['of', 'onto', 'on', 'she', 'and', 'amd', 'ant', 'end', 'und', 'andf']"
and,~~,and,"['was', 'a', 'she', 'and', 'amd', 'ant', 'end', 'und', 'andf', 'ad']"
and,~~,and,"['band', 'ram', 'any', 'and', 'was', 'amd', 'end', 'und', 'as', 'ant']"
